amfi_code,scheme_name,fund_house,category,plan,expense_ratio_pct,cagr_1yr_pct,cagr_3yr_pct,cagr_max_pct,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown_pct,drawdown_peak_date,drawdown_trough_date,rank_return_3yr,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,composite_score,final_rank
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,1.42,8.489081269294418,13.981096072029464,18.6840366921996,0.5165503915082101,0.7618821945041627,0.17703302365844073,-0.0402689523698206,-13.897862823061635,2023-09-19,2023-11-09,40.0,60.0,60.0,52.5,67.5,53.625,19
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,1.52,14.269394138778924,14.654294897613962,22.094488847980422,0.6406730942266643,0.9556496687521345,0.20873010086942337,-0.026387719943843004,-15.27259422823477,2023-09-05,2024-01-24,42.5,65.0,67.5,36.25,55.00000000000001,53.4375,20
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,1.41,41.81904829701364,17.83818890140243,17.082557980818237,0.40461547832920497,0.5935601875037635,0.1625385327998104,0.04189646272811977,-19.82565826298267,2023-03-31,2023-08-14,50.0,55.00000000000001,52.5,55.00000000000001,35.0,51.0,21
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Direct,0.75,19.7667410165155,20.178170681889963,7.9072430211071465,-0.04707325681075887,-0.06694988868417376,0.08232801295222093,0.02588321244009315,-21.751396370148225,2022-02-24,2023-05-22,62.5,32.5,32.5,82.5,25.0,48.25,22
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,1.64,13.5831349444816,24.769411664629448,17.132193088880943,0.3846373345033844,0.5710104086276759,0.16211256794033255,0.016682689437770827,-21.285398874796858,2022-01-06,2022-07-04,70.0,47.5,50.0,3.75,27.500000000000004,46.1875,23
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,1.54,18.11115252275146,17.963796293180543,13.624916999277836,0.23966336777285185,0.3457184416389601,0.13173190226099432,-0.004050271130006534,-14.111986534883126,2024-08-05,2024-12-19,52.5,40.0,42.5,26.25,65.0,44.6875,24
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Direct,0.78,15.443720834451845,11.65877484192228,11.43646562835492,0.1347978410610397,0.19273243686144986,0.11989100971217971,0.009054412621739154,-21.11727956013212,2025-04-04,2025-09-12,37.5,37.5,37.5,77.5,30.0,42.75,25
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Regular,0.74,7.42505077613469,7.3848286009966735,7.230489801750184,-3.6501838785684804,-4.638604317404526,0.06746210411099539,-0.0004440926329707234,-0.09773140045925555,2025-10-16,2025-10-20,35.0,7.5,25.0,85.0,100.0,40.125,26
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Regular,1.53,15.811221971300938,7.248002533762121,16.481890716922987,0.2923432510109931,0.4218407205775436,0.1750072167561127,0.1034966369133759,-23.34488614483311,2025-04-09,2026-02-20,32.5,45.0,57.49999999999999,31.25,22.5,39.4375,27
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,1.59,16.837098075385626,17.203488748597163,13.449705574319303,0.2551174125622313,0.37151130116221215,0.13042924450705445,0.036356399022199795,-17.57361416468729,2024-01-09,2025-02-14,47.5,42.5,40.0,15.0,42.5,39.375,28
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Regular,0.6,7.120323042122512,6.702548562464972,6.913820264452619,-4.000348969233409,-4.990462470583563,0.06455677495375998,-0.00040074423947840013,-0.11629327956168556,2024-04-12,2024-04-30,27.500000000000004,5.0,22.5,95.0,97.5,38.0,29
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Regular,0.55,10.454939683040276,3.8283619012395853,5.2455061535798375,-0.8505789759662293,-1.1816296618926758,0.05074772999976104,0.0012566742731558458,-8.316361763638703,2023-02-09,2024-02-09,17.5,12.5,15.0,100.0,87.5,35.125,30
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Regular,0.77,5.5219955107626895,5.913772991980504,5.8294572923307975,-0.7430986305648412,-1.0401470438664437,0.05620895216638369,-0.006413850728276477,-4.328728923970093,2024-09-16,2025-04-01,22.5,15.0,17.5,80.0,90.0,35.0,31
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Regular,0.56,3.704968580461343,3.9024959738822806,4.545637646995426,-1.0399413574427756,-1.428059221972932,0.042817920315060876,0.0011582183155281463,-4.308263824636349,2023-05-23,2023-07-28,20.0,10.0,7.5,97.5,92.5,33.875,32
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Regular,0.79,7.23664530138024,6.315130287745907,6.516623775248709,-4.650400707150914,-5.578770386442654,0.060861457957871144,0.00026670968338238433,-0.16224980244717857,2023-09-05,2023-09-12,25.0,2.5,20.0,75.0,95.0,32.875,33
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,1.56,22.50195657587366,6.902588140180677,6.289725964436688,-0.05816681141492242,-0.08184207044910531,0.0780443887615508,0.01805687420811816,-24.003511326274886,2023-11-09,2024-10-17,30.0,30.0,30.0,20.0,20.0,27.5,34
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Direct,0.72,13.947803355189968,-1.1676548884575366,2.495247580476656,-0.13617811182970382,-0.1910988446278013,0.048824215945539845,0.06200180438267168,-52.57422117012851,2023-01-17,2025-10-28,7.5,25.0,12.5,88.75,2.5,24.5625,35
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,1.64,1.6091186722522632,1.2286032984341722,6.531433901087214,-0.13100916883965186,-0.1867819056092187,0.0689952982167755,0.009730745001153637,-14.401617909337261,2023-10-12,2025-02-07,15.0,27.500000000000004,27.500000000000004,3.75,62.5,23.6875,36
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Regular,1.53,-23.986031710270627,-4.693651885181193,8.212421407702152,0.052618136475854844,0.07541484885085582,0.10897091901704538,-0.06528924788351524,-35.44691649336603,2024-11-21,2026-05-11,5.0,35.0,35.0,31.25,7.5,22.6875,37
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,1.38,-42.797614558854406,-10.9394027509082,1.0942892784174596,-0.15165815861644164,-0.21478181106532898,0.048015953637759554,-0.066951174639292,-51.677753708526566,2025-05-22,2026-05-11,2.5,22.5,10.0,60.0,5.0,17.875,38
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,1.51,-16.797480944407305,-0.9514413663362364,0.9139335082618771,-0.29488891285108904,-0.4108315025494696,0.028969397866379445,-0.04212502902189432,-28.00112356639287,2025-01-07,2026-04-27,10.0,20.0,2.5,41.25,15.0,16.1875,39
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Regular,1.55,-2.224270997710287,1.0306975687293773,2.880836107497964,-0.3210192604995429,-0.45687462533730655,0.03747580763443281,-0.0582684314388089,-24.734440880673304,2022-03-30,2022-09-15,12.5,17.5,5.0,22.5,17.5,14.25,40
